# song_key (normalized title|performer)	genres
america|yes	ROCK,JAZZ
amie|pure prairie league	POP,ROCK,COUNTRY,FOLK
amnesia|5 seconds of summer	POP
amnesia|shalamar	RNB,ELECTRONIC
amor eterno|cristian castro	ROCK,LATIN
amos moses|jerry reed	COUNTRY
an american dream|dirt band	POP,COUNTRY,FOLK
an american trilogy|elvis presley	CLASSICAL,ROCK
an american trilogy|mickey newbury	COUNTRY,FOLK
an everlasting love|andy gibb	POP,RNB,COUNTRY,ELECTRONIC
an honest mistake|bravery	ROCK,ELECTRONIC,PUNK
an innocent man|billy joel	POP,ROCK,FOLK
an old fashioned love song|three dog night	POP,ROCK,RNB,COUNTRY,FOLK
anaconda|nicki minaj	POP,HIP_HOP
and get away|esquires	RNB
and i love him|esther phillips	RNB
and i love you so|bobby goldsboro	POP,ROCK,COUNTRY,FOLK
and i love you so|perry como	POP,JAZZ
and i|ciara	POP,HIP_HOP,RNB
and love goes on|earth wind and fire	RNB,ELECTRONIC
and my heart sang tra la la|brenda and the tabulations	RNB
and our feelings|babyface	POP,RNB
and roses and roses|andy williams	POP,JAZZ,CLASSICAL
and she was|talking heads	ROCK,RNB,ELECTRONIC,PUNK
and so it goes|billy joel	POP,ROCK,FOLK
and the beat goes on|whispers	ROCK,RNB,ELECTRONIC
and the cradle will rock|van halen	ROCK,METAL
and the night stood still|dion	POP,ROCK,RNB
and then what|young jeezy featuring mannie fresh	HIP_HOP
and we danced|hooters	POP,ROCK
and when i die|blood sweat and tears	POP,ROCK,RNB,COUNTRY,FOLK
andrea|sunrays	POP
angel baby|angelica	METAL
angel eyes|jeff healey band	ROCK,RNB
angel eyes|love and theft	COUNTRY
angel in blue jeans|train	POP
angel in blue|j geils band	POP,ROCK,RNB,COUNTRY,FOLK
angel of harlem|u2	ROCK
angel of the morning|juice newton	POP,COUNTRY
angel say no|tommy tutone	POP,ROCK
angel song|great white	ROCK,METAL
angelia|richard marx	POP,ROCK
angeline|allman brothers band	POP,ROCK,RNB,COUNTRY,FOLK
angelito|don omar	HIP_HOP,LATIN
angelito|rene and rene	LATIN
angels in waiting|tammy cochran	COUNTRY
angels on the moon|thriving ivory	POP,ROCK
angels would fall|melissa etheridge	POP,ROCK,FOLK
angels|david archuleta	POP
angels|robbie williams	POP
angel|aerosmith	ROCK
angel|akon	POP,HIP_HOP
angel|amanda perez	POP,RNB
angel|aretha franklin	RNB
angel|johnny tillotson	POP,ROCK,RNB
angel|jon secada	POP
angel|lionel richie	POP,RNB,ELECTRONIC
angel|madonna	POP
angel|natasha bedingfield	POP
angel|rod stewart	POP,ROCK
angel|sarah mclachlan	POP,ROCK,FOLK
angel|shaggy featuring rayvon	POP,HIP_HOP
angie baby|helen reddy	POP,FOLK
angie|rolling stones	ROCK,PUNK
angry all the time|tim mcgraw	COUNTRY
animal i have become|three days grace	ROCK,PUNK,METAL
animal instinct|commodores	POP,RNB,ELECTRONIC
animal song|savage garden	POP
animal trainer and the toad|mountain	ROCK,RNB
animals|maroon 5	POP
animals|martin garrix	POP,ELECTRONIC
animals|nickelback	ROCK,METAL
animal|def leppard	ROCK,METAL
animal|neon trees	POP,ROCK,PUNK
anna molly|incubus	POP,ROCK,HIP_HOP,RNB,METAL
annabella|hamilton joe frank and reynolds	POP
annabelle|daniel boone	POP
anniversary|tony toni tone	POP,HIP_HOP,RNB
another cup of coffee|brook benton	POP,ROCK,RNB
another day another heartache|5th dimension	POP,RNB,FOLK
another day in paradise|phil collins	POP
another dumb blonde|hoku	POP
another heartache|rod stewart	POP,ROCK
another minute|cause and effect	POP
another night|aretha franklin	RNB
another night|dionne warwick	POP,RNB,ELECTRONIC
another night|real mccoy	POP,ELECTRONIC
another one bites the dust|queen	ROCK
another park another sunday|doobie brothers	POP,ROCK,RNB,COUNTRY,FOLK
another place another time|jerry lee lewis	POP,ROCK,COUNTRY
another puff|jerry reed	COUNTRY
