# normalized_key	display_name	genres
space	Space	ELECTRONIC
spacehog	Spacehog	POP,ROCK
spandau ballet	Spandau Ballet	POP,ROCK,ELECTRONIC
spanky and our gang	Spanky & Our Gang	POP,ROCK,FOLK
sparks	Sparks	POP,ROCK,ELECTRONIC,PUNK
spats	The Spats	OTHER
special generation	Special Generation	RNB
spellbinders	The Spellbinders	RNB
spencer davis group	The Spencer Davis Group	POP,ROCK,RNB,PUNK,FOLK
spice girls	Spice Girls	POP
spider	Spider	OTHER
spin doctors	Spin Doctors	POP,ROCK
spinners	The Spinners	RNB,ELECTRONIC
spiral starecase	Spiral Starecase	OTHER
spirit	Spirit	OTHER
splender	Splender	POP
spokesmen	The Spokesmen	OTHER
sponge	Sponge	POP,ROCK
spooks	Spooks	OTHER
sports	THE SPORTS	ROCK
sporty thievz	Sporty Thievz	OTHER
spose	Spose	HIP_HOP
springfields	The Springfields	POP
spyder turner	Spyder Turner	RNB
spyro gyra	Spyro Gyra	RNB,JAZZ
spys	Spys	OTHER
squeak e clean	Squeak E. Clean	OTHER
squeeze	Squeeze	POP,ROCK,ELECTRONIC
st charles borromeo choir	The St. Charles Borromeo Choir	OTHER
st lunatics	St. Lunatics	HIP_HOP
stacey q	Stacey Q	OTHER
stacie orrico	Stacie Orrico	POP
stacy barthe	Stacy Barthe	OTHER
stacy earl	Stacy Earl	OTHER
stacy lattisaw	Stacy Lattisaw	RNB,ELECTRONIC
stage dolls	Stage Dolls	POP,ROCK
staind	Staind	ROCK,HIP_HOP,METAL
stampeders	Stampeders	ROCK
stan getz	Stan Getz	JAZZ,LATIN
standells	The Standells	ROCK,PUNK
stanley clarke	Stanley Clarke	RNB,JAZZ
staple singers	The Staple Singers	RNB
starbuck	Starbuck	POP
stardust	Stardust	OTHER
stargard	Stargard	ELECTRONIC
starland vocal band	Starland Vocal Band	POP
starley	Starley	OTHER
starpoint	Starpoint	RNB,ELECTRONIC
stars on 45	Stars On 45	ELECTRONIC
starship	Starship	POP,ROCK,ELECTRONIC
starz	Starz	OTHER
static major	Static Major	RNB
statler brothers	The Statler Brothers	COUNTRY
status quo	Status Quo	POP,ROCK,RNB
stealers wheel	Stealers Wheel	POP,ROCK,FOLK
steam	Steam	OTHER
steel breeze	Steel Breeze	OTHER
steel magnolia	Steel Magnolia	COUNTRY
steelheart	STEELHEART	ROCK,METAL
steely dan	Steely Dan	POP,ROCK,RNB,FOLK
stephanie mills	Stephanie Mills	RNB,ELECTRONIC
stephen bishop	Stephen Bishop	POP,COUNTRY,FOLK
stephen stills	Stephen Stills	POP,ROCK,RNB,COUNTRY,FOLK
steppenwolf	Steppenwolf	POP,ROCK,RNB,FOLK
stereo mc s	Stereo MC's	ELECTRONIC,JAZZ
stereos	The Stereos	OTHER
steve alaimo	Steve Alaimo	OTHER
steve aoki	Steve Aoki	POP,ELECTRONIC
steve arrington	Steve Arrington	RNB,ELECTRONIC
steve azar	Steve Azar	COUNTRY
steve forbert	Steve Forbert	POP,ROCK,COUNTRY,FOLK
steve greenberg	Steve Greenberg	OTHER
steve harley and cockney rebel	Steve Harley & Cockney Rebel	POP,ROCK
steve holy	Steve Holy	COUNTRY
steve kazee	Steve Kazee	SOUNDTRACK
steve lawrence	Steve Lawrence	POP
steve mandell	Steve Mandell	OTHER
steve martin	Steve Martin	COUNTRY
steve martin and the toot uncommons	Steve Martin and The Toot Uncommons	OTHER
steve miller band	Steve Miller Band	POP,ROCK,RNB,FOLK
steve perry	Steve Perry	POP,ROCK
steve wariner	Steve Wariner	COUNTRY
steve winwood	Steve Winwood	POP,ROCK,ELECTRONIC,FOLK
steven tyler	Steven Tyler	COUNTRY
stevie b	Stevie B	OTHER
stevie nicks	Stevie Nicks	POP,ROCK
stevie wonder	Stevie Wonder	RNB
sting	Sting	POP,ROCK
stone poneys	Stone Poneys	OTHER
stone sour	Stone Sour	ROCK,HIP_HOP,METAL
stone temple pilots	Stone Temple Pilots	POP,ROCK,METAL
stoney	Stoney	OTHER
stories	Stories	OTHER
strangeloves	The Strangeloves	ROCK
strangers	The Strangers	OTHER
strawberry alarm clock	Strawberry Alarm Clock	POP,ROCK,FOLK
stray cats	Stray Cats	ROCK
street people	Street People	OTHER
streets	Streets	OTHER
strokes	The Strokes	ROCK
stryper	Stryper	ROCK,METAL
style council	The Style Council	POP,ROCK,ELECTRONIC,PUNK
styles	The Styles	OTHER
styles of beyond	Styles Of Beyond	HIP_HOP
styles p	Styles P	HIP_HOP,PUNK
stylistics	The Stylistics	POP,RNB,ELECTRONIC
styx	Styx	POP,ROCK
sublime	Sublime	PUNK
sue thompson	Sue Thompson	POP,ROCK
suga free	Suga Free	HIP_HOP,RNB
suga t	Suga T	RNB
sugababes	Sugababes	POP,RNB,ELECTRONIC
sugar bears	The Sugar Bears	OTHER
sugar pie desanto	Sugar Pie DeSanto	RNB
sugar ray	Sugar Ray	POP,ROCK,PUNK,METAL
sugarhill gang	The Sugarhill Gang	HIP_HOP,RNB,ELECTRONIC
sugarland	Sugarland	POP,COUNTRY
sugarloaf	Sugarloaf	POP,ROCK
sum 41	Sum 41	ROCK,PUNK,METAL
summer walker	Summer Walker	POP,RNB
sun	Sun	RNB
sundance head	Sundance Head	OTHER
sunny sweeney	Sunny Sweeney	COUNTRY,FOLK
sunrays	The Sunrays	POP
sunscreem	Sunscreem	ELECTRONIC,PUNK
sunshine anderson	Sunshine Anderson	POP,RNB
sunshine company	The Sunshine Company	POP
super cat	Super Cat	ROCK,ELECTRONIC
superbs	The Superbs	RNB
superpower	Superpower	OTHER
supertramp	Supertramp	POP,ROCK,FOLK
supremes	The Supremes	POP,RNB,ELECTRONIC,FOLK
surface	Surface	POP,RNB
surfaris	The Surfaris	ROCK
survivor	Survivor	POP,ROCK
susan boyle	Susan Boyle	CLASSICAL
susan christie	Susan Christie	FOLK
susan jacks	Susan Jacks	OTHER
susan raye	Susan Raye	OTHER
susanna hoffs	Susanna Hoffs	POP
sutherland brothers and quiver	Sutherland Brothers & Quiver	POP
suzanne vega	Suzanne Vega	POP,ROCK,FOLK
suzi quatro	Suzi Quatro	POP,ROCK
swae lee	Swae Lee	HIP_HOP
swans	The Swans	OTHER
sweathog	Sweathog	OTHER
swedish house mafia	Swedish House Mafia	POP,ELECTRONIC
sweeney todd	Sweeney Todd	ROCK
sweet	Sweet	POP,ROCK,RNB
sweet dreams	Sweet Dreams	OTHER
sweet inspirations	The Sweet Inspirations	POP,RNB
sweet rush	Sweet Rush	OTHER
sweet sensation	Sweet Sensation	OTHER
sweetbox	Sweetbox	OTHER
swing out sister	Swing Out Sister	POP,ROCK
swingin medallions	Swingin' Medallions	ROCK
swinging blue jeans	The Swinging Blue Jeans	POP,ROCK,FOLK
swirl 360	Swirl 360	OTHER
switch	Switch	OTHER
switchfoot	Switchfoot	POP,ROCK
swizz beatz	Swizz Beatz	HIP_HOP
swon brothers	The Swon Brothers	COUNTRY
swv	SWV	POP,HIP_HOP,RNB
sybil	Sybil	ELECTRONIC
syd	Syd	HIP_HOP,RNB
sydney youngblood	Sydney Youngblood	OTHER
syl johnson	Syl Johnson	RNB
syleena johnson	Syleena Johnson	POP,RNB
sylvers	The Sylvers	RNB,ELECTRONIC
sylvester	Sylvester	ELECTRONIC
sylvia	Sylvia	OTHER
sylvie vartan	Sylvie Vartan	OTHER
syndicate of sound	Syndicate Of Sound	ROCK
syreeta	Syreeta	RNB
system	The System	RNB,ELECTRONIC
system of a down	System Of A Down	ROCK,METAL
sza	SZA	POP,HIP_HOP
t a t u	t.A.T.u.	POP
t bones	The T-Bones	OTHER
t boz	T-Boz	OTHER
t connection	T-Connection	RNB,ELECTRONIC
t g sheppard	T.G. Sheppard	COUNTRY
t i	T.I.	POP,HIP_HOP
t o k	T.O.K.	ELECTRONIC
t p e	T.P.E.	OTHER
t pain	T-Pain	POP,HIP_HOP,RNB
t pau	T'Pau	POP,ROCK,ELECTRONIC
t rex	T. Rex	ROCK,RNB,ELECTRONIC,PUNK,FOLK
t s monk	T.S. Monk	ELECTRONIC
t w d y	T.W.D.Y.	OTHER
t wayne	T-Wayne	HIP_HOP
taco	Taco	OTHER
tag	Tag	OTHER
tag team	Tag Team	OTHER
taio cruz	Taio Cruz	POP,HIP_HOP,ELECTRONIC
taja sevelle	Taja Sevelle	OTHER
take that	Take That	POP,SOUNDTRACK
takeoff	Takeoff	HIP_HOP
taking back sunday	Taking Back Sunday	POP,ROCK,PUNK,EMO
tal bachman	Tal Bachman	POP
talib kweli	Talib Kweli	HIP_HOP,PUNK
talk talk	Talk Talk	POP,ROCK,ELECTRONIC
talking heads	Talking Heads	ROCK,RNB,ELECTRONIC,PUNK
tamar braxton	Tamar Braxton	POP,RNB
tami davis	Tami Davis	OTHER
tamia	Tamia	POP,RNB
tamiko jones	Tamiko Jones	OTHER
tammi terrell	Tammi Terrell	RNB
tammy cochran	Tammy Cochran	COUNTRY
tammy wynette	Tammy Wynette	COUNTRY
tams	The Tams	RNB
tane cain	Tane Cain	OTHER
tangier	Tangier	ROCK,METAL
tank	Tank	OTHER
tanto metro and devonte	Tanto Metro & Devonte	ELECTRONIC
tanya tucker	Tanya Tucker	COUNTRY
tara kemp	Tara Kemp	OTHER
tarrus riley	Tarrus Riley	ROCK,ELECTRONIC
tasha thomas	Tasha Thomas	ELECTRONIC
tasmin archer	Tasmin Archer	POP
tateeze	Tateeze	OTHER
tatyana ali	Tatyana Ali	OTHER
tavares	Tavares	RNB,ELECTRONIC
tay dizm	Tay Dizm	HIP_HOP
tay k	Tay-K	HIP_HOP
taylor dayne	Taylor Dayne	POP,ELECTRONIC
taylor hicks	Taylor Hicks	POP
taylor swift	Taylor Swift	POP
teairra mari	Teairra Marí	POP,RNB
team 10	Team 10	OTHER
tears for fears	Tears For Fears	POP,ROCK,ELECTRONIC
tech n9ne	Tech N9ne	HIP_HOP
technotronic	Technotronic	POP,ELECTRONIC
ted nugent	Ted Nugent	ROCK,RNB,METAL
ted taylor	Ted Taylor	RNB
teddy geiger	Teddy Geiger	POP
teddy pendergrass	Teddy Pendergrass	RNB,ELECTRONIC
teddy riley	Teddy Riley	RNB
tee grizzley	Tee Grizzley	HIP_HOP
tee set	Tee-Set	POP
teena marie	Teena Marie	RNB,ELECTRONIC
tegan and sara	Tegan and Sara	POP,ROCK
tela	Tela	HIP_HOP
telepopmusik	Télépopmusik	ELECTRONIC,JAZZ
temprees	The Temprees	RNB
temptations	The Temptations	RNB
ten years after	Ten Years After	ROCK,RNB,FOLK
tenacious d	Tenacious D	ROCK,METAL
tennessee three	Tennessee Three	OTHER
terence trent d arby	Terence Trent D'Arby	POP,ROCK,ELECTRONIC
terri	Terri	OTHER
terri clark	Terri Clark	COUNTRY
terri gibbs	Terri Gibbs	OTHER
terror fabulous	Terror Fabulous	ROCK,ELECTRONIC
terror squad	Terror Squad	PUNK
terry black	Terry Black	OTHER
terry dexter	Terry Dexter	OTHER
terry ellis	Terry Ellis	OTHER
terry jacks	Terry Jacks	POP
terry knight and the pack	Terry Knight And The Pack	OTHER
terry mcdermott	Terry McDermott	OTHER
terry nelson	Terry Nelson	OTHER
terry stafford	Terry Stafford	OTHER
tesla	Tesla	ROCK,METAL
tessanne chin	Tessanne Chin	OTHER
tevin campbell	Tevin Campbell	POP,RNB
tex ritter	Tex Ritter	COUNTRY
texas	Texas	POP,ROCK,RNB,ELECTRONIC
teyana taylor	Teyana Taylor	POP,HIP_HOP,RNB
tha alkaholiks	Tha Alkaholiks	HIP_HOP,PUNK
tha dogg pound	Tha Dogg Pound	HIP_HOP,RNB,PUNK
tha eastsidaz	Tha Eastsidaz	HIP_HOP,RNB
tha rayne	Tha' Rayne	OTHER
thalia	Thalía	POP,LATIN
thee prophets	Thee Prophets	OTHER
thelma houston	Thelma Houston	RNB,ELECTRONIC
them	Them	POP,ROCK,RNB,PUNK,FOLK
theophilus london	Theophilus London	HIP_HOP
theory of a deadman	Theory of a Deadman	ROCK,HIP_HOP,METAL
thin lizzy	Thin Lizzy	ROCK,RNB,METAL
third eye blind	Third Eye Blind	POP,ROCK,PUNK
third rail	The Third Rail	OTHER
third world	Third World	ROCK
thirty seconds to mars	Thirty Seconds To Mars	ROCK,PUNK
thomas dolby	Thomas Dolby	POP,ROCK,ELECTRONIC,PUNK
thomas rhett	Thomas Rhett	COUNTRY
thompson square	Thompson Square	COUNTRY
thompson twins	Thompson Twins	POP,ROCK,ELECTRONIC
three 6 mafia	Three 6 Mafia	HIP_HOP
three days grace	Three Days Grace	ROCK,PUNK,METAL
three degrees	The Three Degrees	POP,RNB,ELECTRONIC
three dog night	Three Dog Night	POP,ROCK,RNB,COUNTRY,FOLK
thriving ivory	Thriving Ivory	POP,ROCK
thunder	Thunder	ROCK,METAL
thundercat	Thundercat	HIP_HOP
thunderclap newman	Thunderclap Newman	POP
tia	Tia	POP
tiana	Tiana	OTHER
tierra	Tierra	RNB
tiesto	Tiësto	POP,ELECTRONIC
tiffany	Tiffany	POP
til tuesday	'Til Tuesday	POP,ROCK,ELECTRONIC
tim curry	Tim Curry	SOUNDTRACK
tim davis	Tim Davis	OTHER
tim hardin	Tim Hardin	POP,COUNTRY,FOLK
tim mcgraw	Tim McGraw	COUNTRY
tim moore	Tim Moore	OTHER
tim tam and the turn ons	Tim Tam & The Turn Ons	OTHER
timbaland	Timbaland	POP,HIP_HOP,RNB
timbaland and magoo	Timbaland & Magoo	POP
timbuk 3	Timbuk 3	OTHER
time	The Time	RNB,ELECTRONIC
timex social club	Timex Social Club	OTHER
timi yuro	Timi Yuro	POP
timmy t	Timmy T	OTHER
timmy thomas	Timmy Thomas	RNB
timothy b schmit	Timothy B. Schmit	POP
tina arena	Tina Arena	POP,ELECTRONIC
tina turner	Tina Turner	POP,ELECTRONIC
tinashe	Tinashe	POP,HIP_HOP,RNB
ting tings	The Ting Tings	POP,ELECTRONIC,PUNK
tinie tempah	Tinie Tempah	POP,HIP_HOP,ELECTRONIC
tiny tim	Tiny Tim	OTHER
titiyo	Titiyo	POP,RNB
tjr	TJR	ROCK,HIP_HOP,ELECTRONIC
tka	TKA	OTHER
tlc	TLC	POP,HIP_HOP,RNB
toad the wet sprocket	Toad The Wet Sprocket	POP,ROCK
toby beau	Toby Beau	OTHER
toby keith	Toby Keith	COUNTRY
toby love	Toby Love	HIP_HOP,LATIN
todd rundgren	Todd Rundgren	POP,ROCK,RNB,COUNTRY,FOLK
tokens	The Tokens	POP,RNB
tom clay	Tom Clay	OTHER
tom cochrane	Tom Cochrane	POP,ROCK,FOLK
tom johnston	Tom Johnston	OTHER
tom jones	Tom Jones	POP,ROCK
tom northcott	Tom Northcott	POP
tom petty	Tom Petty	POP,ROCK,FOLK
tom petty and the heartbreakers	Tom Petty and the Heartbreakers	POP,ROCK,FOLK
tom scott	Tom Scott	RNB,JAZZ
tom t hall	Tom T. Hall	COUNTRY,FOLK
tom tom club	Tom Tom Club	POP,ROCK,ELECTRONIC,PUNK
tommy boyce	Tommy Boyce	POP
tommy cash	Tommy Cash	COUNTRY
tommy james	Tommy James	POP
tommy james and the shondells	Tommy James & The Shondells	POP,ROCK,FOLK
tommy lee	Tommy Lee	OTHER
tommy mclain	Tommy McLain	POP
tommy page	Tommy Page	OTHER
tommy roe	Tommy Roe	POP,ROCK,FOLK
tommy shane steiner	Tommy Shane Steiner	OTHER
tommy shaw	Tommy Shaw	ROCK
tommy tucker	Tommy Tucker	OTHER
tommy tutone	Tommy Tutone	POP,ROCK
tone loc	Tone-Loc	HIP_HOP,ELECTRONIC
toni basil	Toni Basil	POP
toni braxton	Toni Braxton	POP,RNB
toni childs	Toni Childs	OTHER
toni halliday	Toni Halliday	OTHER
tony bennett	Tony Bennett	POP,JAZZ
tony carey	Tony Carey	OTHER
tony clarke	Tony Clarke	RNB
tony joe white	Tony Joe White	POP,ROCK,RNB,COUNTRY,FOLK
tony lucca	Tony Lucca	POP
tony orlando	Tony Orlando	POP
tony orlando and dawn	Tony Orlando & Dawn	POP
tony rich project	The Tony Rich Project	RNB
tony sheridan	Tony Sheridan	ROCK
tony sunshine	Tony Sunshine	OTHER
tony terry	Tony Terry	RNB
tony thompson	Tony Thompson	RNB
tony toni tone	Tony! Toni! Toné!	POP,HIP_HOP,RNB
tony williams	Tony Williams	RNB,JAZZ
tony yayo	Tony Yayo	HIP_HOP
too hort	Too $hort	HIP_HOP
tool	TOOL	ROCK,METAL
tora tora	Tora Tora	ROCK,METAL
tori amos	Tori Amos	POP,ROCK,FOLK
tori kelly	Tori Kelly	POP
toronto	Toronto	ROCK
tory lanez	Tory Lanez	POP,HIP_HOP
total	Total	POP,HIP_HOP,RNB
toto	Toto	POP,ROCK
touch	Touch	OTHER
tourists	The Tourists	OTHER
toussaint mccall	Toussaint McCall	RNB
tove lo	Tove Lo	POP,ELECTRONIC
tower of power	Tower Of Power	RNB,JAZZ
toya	Toya	POP
toys	The Toys	OTHER
tq	TQ	RNB
trace adkins	Trace Adkins	COUNTRY
tracey dey	Tracey Dey	OTHER
tracey ullman	Tracey Ullman	POP
tracie spencer	Tracie Spencer	RNB
tractors	The Tractors	COUNTRY
tracy byrd	Tracy Byrd	COUNTRY
tracy chapman	Tracy Chapman	POP,FOLK
tracy lawrence	Tracy Lawrence	COUNTRY
trade martin	Trade Martin	OTHER
tradewinds	The Tradewinds	POP
traffic	Traffic	POP,ROCK,RNB,COUNTRY,FOLK
train	Train	POP
trammps	The Trammps	RNB,ELECTRONIC
trans x	Trans-X	ELECTRONIC
transvision vamp	Transvision Vamp	POP
trapt	Trapt	ROCK,HIP_HOP,METAL
trashmen	The Trashmen	ROCK,PUNK
traveling wilburys	Traveling Wilburys	POP,ROCK,RNB,FOLK
travie mccoy	Travie McCoy	HIP_HOP
travis	Travis	POP,ROCK
travis barker	Travis Barker	HIP_HOP
travis porter	Travis Porter	HIP_HOP
travis scott	Travis Scott	POP,HIP_HOP
travis tritt	Travis Tritt	COUNTRY
travis wammack	Travis Wammack	OTHER
treblemakers	The Treblemakers	SOUNDTRACK
tremeloes	The Tremeloes	POP,ROCK,FOLK
trent tomlinson	Trent Tomlinson	COUNTRY
trevor guthrie	Trevor Guthrie	POP
trey lorenz	Trey Lorenz	RNB
trey songz	Trey Songz	POP,HIP_HOP,RNB
trick daddy	Trick Daddy	POP,HIP_HOP
trick pony	Trick Pony	COUNTRY
trick trick	Trick Trick	HIP_HOP
trillville	Trillville	HIP_HOP
trina	Trina	POP,HIP_HOP,RNB
trina and tamara	Trina & Tamara	OTHER
trini lopez	Trini Lopez	POP,ROCK
trinidad james	Trinidad James	HIP_HOP
triplets	the Triplets	OTHER
trippie redd	Trippie Redd	HIP_HOP
trisha yearwood	Trisha Yearwood	COUNTRY
triumph	Triumph	POP,ROCK,METAL
trixter	Trixter	ROCK,METAL
troggs	The Troggs	POP,ROCK,PUNK,FOLK
trolls	Trolls	ROCK
troop	Troop	POP,RNB
trouble	Trouble	HIP_HOP
troy keyes	Troy Keyes	RNB
troy newman	Troy Newman	OTHER
troye sivan	Troye Sivan	POP
tru	TRU	OTHER
true image	True Image	OTHER
trustcompany	TRUSTcompany	ROCK,HIP_HOP,METAL
truth	The Truth	ROCK
truth hurts	Truth Hurts	POP,RNB
tubes	The Tubes	POP,ROCK,ELECTRONIC
tufano and giammarese	Tufano & Giammarese	OTHER
tujamo	Tujamo	POP,ELECTRONIC
turk	Turk	HIP_HOP
turley richards	Turley Richards	OTHER
turtles	The Turtles	POP,ROCK,FOLK
tweet	Tweet	POP,RNB
twenty one pilots	Twenty One Pilots	ROCK,PUNK
twice	TWICE	POP
twinz	Twinz	HIP_HOP,RNB
twista	Twista	POP,HIP_HOP
twisted sister	Twisted Sister	ROCK,METAL
ty dolla ign	Ty Dolla $ign	POP,HIP_HOP
ty herndon	Ty Herndon	COUNTRY
tycoon	Tycoon	OTHER
tyga	Tyga	POP,HIP_HOP
tyler collins	Tyler Collins	OTHER
tyler farr	Tyler Farr	COUNTRY
tyler the creator	Tyler, The Creator	HIP_HOP
tymes	The Tymes	POP,RNB
tyrese	Tyrese	POP,HIP_HOP,RNB
tyrone davis	Tyrone Davis	RNB
u n v	U.N.V.	OTHER
u2	U2	ROCK
ub40	UB40	OTHER
ugk	UGK	HIP_HOP
ugly god	Ugly God	HIP_HOP
ugly kid joe	Ugly Kid Joe	ROCK,RNB,METAL
ultimate	Ultimate	OTHER
ultra nate	Ultra Nate	ELECTRONIC
ultravox	Ultravox	POP,ROCK,ELECTRONIC
uncle charlie wilson	Uncle Charlie Wilson	OTHER
uncle kracker	Uncle Kracker	POP,ROCK,COUNTRY
uncle sam	Uncle Sam	ELECTRONIC
underworld	Underworld	ELECTRONIC
undisputed truth	The Undisputed Truth	RNB,ELECTRONIC
uniques	The Uniques	OTHER
universal robot band	Universal Robot Band	OTHER
unk	Unk	POP,HIP_HOP
uptown	Uptown	OTHER
urban dance squad	Urban Dance Squad	ROCK,HIP_HOP,RNB,METAL
urge overkill	Urge Overkill	POP
uriah heep	Uriah Heep	ROCK,RNB,METAL
us3	Us3	HIP_HOP,JAZZ
used	The Used	PUNK,EMO
usher	Usher	POP,HIP_HOP,RNB
utah saints	Utah Saints	ELECTRONIC,PUNK
utfo	Utfo	HIP_HOP,ELECTRONIC
utopia	Utopia	OTHER
v i c	V.I.C.	HIP_HOP
v v brown	V V Brown	POP,RNB
valadiers	The Valadiers	RNB
valentinos	The Valentinos	ELECTRONIC
valerie carter	Valerie Carter	POP
valerie simpson	Valerie Simpson	OTHER
van dykes	The Van Dykes	OTHER
van halen	Van Halen	ROCK,METAL
van mccoy	Van McCoy	ELECTRONIC
van mccoy and the soul city symphony	Van McCoy & The Soul City Symphony	ELECTRONIC
van morrison	Van Morrison	POP,ROCK,FOLK
van zant	Van Zant	ROCK,COUNTRY
vance joy	Vance Joy	POP,ROCK,FOLK
vandenberg	Vandenberg	ROCK,METAL
vanessa carlton	Vanessa Carlton	POP,ROCK
vanessa hudgens	Vanessa Hudgens	POP,SOUNDTRACK
vanessa williams	Vanessa Williams	RNB
vangelis	Vangelis	PUNK
vanilla fudge	Vanilla Fudge	ROCK,RNB
vanilla ice	Vanilla Ice	HIP_HOP,ELECTRONIC
vanity	Vanity	OTHER
vanity fare	Vanity Fare	POP,ROCK
vapors	The Vapors	POP,ROCK,ELECTRONIC
various artists	Various Artists	OTHER
vaughan brothers	The Vaughan Brothers	RNB
vejtables	The Vejtables	OTHER
velvelettes	The Velvelettes	POP,RNB
velvet revolver	Velvet Revolver	ROCK,METAL
vengaboys	Vengaboys	POP,ELECTRONIC
ventures	The Ventures	ROCK
verdine white	Verdine White	OTHER
veronicas	The Veronicas	POP
vertical horizon	Vertical Horizon	POP,ROCK
verve	The Verve	POP,ROCK
verve pipe	The Verve Pipe	POP,ROCK
vibrations	The Vibrations	RNB
vic damone	Vic Damone	POP,JAZZ
vic dana	Vic Dana	POP
vicci martinez	Vicci Martinez	OTHER
vicious	Vicious	OTHER
vicki anderson	Vicki Anderson	OTHER
vicki lawrence	Vicki Lawrence	OTHER
vicki sue robinson	Vicki Sue Robinson	ELECTRONIC
victor lundberg	Victor Lundberg	OTHER
vika jigulina	Vika Jigulina	LATIN
vikki carr	Vikki Carr	POP
village people	Village People	ELECTRONIC
village stompers	The Village Stompers	OTHER
vince gill	Vince Gill	COUNTRY
viscounts	The Viscounts	OTHER
vita	Vita	OTHER
vitamin c	Vitamin C	POP
vitamin z	Vitamin Z	POP,ROCK
vivian green	Vivian Green	POP,RNB
vixen	Vixen	ROCK,METAL
vogues	The Vogues	POP,ROCK,RNB,FOLK
voice of the beehive	Voice Of The Beehive	POP
voices	The Voices	ROCK
voices of theory	Voices of Theory	POP
vonda shepard	Vonda Shepard	OTHER
voyage	Voyage	ELECTRONIC
voyce	Voyce	OTHER
wa wa nee	Wa Wa Nee	ROCK
wackers	The Wackers	OTHER
wade hayes	Wade Hayes	COUNTRY
wadsworth mansion	Wadsworth Mansion	OTHER
waikikis	The Waikikis	OTHER
wailers	The Wailers	PUNK
waitresses	The Waitresses	POP,ELECTRONIC
waka flocka flame	Waka Flocka Flame	HIP_HOP
waldo de los rios	Waldo De Los Ríos	POP
wale	Wale	POP,HIP_HOP,RNB
walk the moon	WALK THE MOON	POP,ROCK
walker hayes	Walker Hayes	COUNTRY
wall of voodoo	Wall Of Voodoo	POP,ROCK,ELECTRONIC,PUNK
wallace brothers	Wallace Brothers	OTHER
wallflowers	The Wallflowers	POP,ROCK
walter egan	Walter Egan	POP
walter jackson	Walter Jackson	RNB
walter murphy	Walter Murphy	ELECTRONIC
walter wanderley	Walter Wanderley	POP,JAZZ,LATIN
wanda jackson	Wanda Jackson	ROCK
wang chung	Wang Chung	POP,ROCK,ELECTRONIC
wanted	The Wanted	POP
wanz	Wanz	OTHER
war	War	RNB
warrant	Warrant	ROCK,METAL
warren g	Warren G	HIP_HOP,RNB,PUNK
warren zevon	Warren Zevon	POP,ROCK,COUNTRY,FOLK
was not was	Was (Not Was)	OTHER
watt	watt	ROCK
wax	Wax	OTHER
waylon jennings	Waylon Jennings	COUNTRY
wayne fontana and the mindbenders	Wayne Fontana & The Mindbenders	POP,ROCK
wayne newton	Wayne Newton	POP
wayne wonder	Wayne Wonder	ROCK,ELECTRONIC
wc	WC	HIP_HOP
wc and the maad circle	Wc And The Maad Circle	HIP_HOP,RNB
we five	We Five	POP,FOLK
we the kings	We The Kings	POP,ROCK,PUNK,EMO
weather girls	The Weather Girls	ELECTRONIC
webbie	Webbie	HIP_HOP
webstar	Webstar	OTHER
wednesday	Wednesday	OTHER
weeknd	The Weeknd	POP,HIP_HOP,RNB
weezer	Weezer	POP,ROCK,PUNK
weird al yankovic	Weird Al Yankovic	POP,ROCK
wendy and lisa	Wendy & Lisa	POP
wendy fraser	Wendy Fraser	OTHER
wendy moten	Wendy Moten	OTHER
wendy waldman	Wendy Waldman	OTHER
wes montgomery	Wes Montgomery	RNB,JAZZ
west street mob	West Street Mob	HIP_HOP,ELECTRONIC
westlife	Westlife	POP
westside connection	Westside Connection	HIP_HOP,RNB,PUNK
wet wet wet	Wet Wet Wet	POP,ROCK,ELECTRONIC
wet willie	Wet Willie	ROCK,COUNTRY
wham	Wham!	POP,ROCK,RNB,ELECTRONIC
what is this	What Is This	OTHER
whatnauts	The Whatnauts	RNB
when in rome	When In Rome	POP,ROCK,ELECTRONIC
whirlwind	Whirlwind	ROCK
whispers	The Whispers	ROCK,RNB,ELECTRONIC
whistle	Whistle	HIP_HOP,ELECTRONIC
white buffalo	The White Buffalo	FOLK
white lion	White Lion	ROCK,METAL
white plains	White Plains	POP
white stripes	The White Stripes	ROCK,RNB,PUNK
white tie affair	The White Tie Affair	POP,PUNK,EMO
white town	White Town	OTHER
whitesnake	Whitesnake	ROCK,RNB,METAL
whitney houston	Whitney Houston	POP
who	The Who	POP,ROCK,PUNK,FOLK
who is fancy	Who Is Fancy	OTHER
whodini	Whodini	HIP_HOP,RNB,ELECTRONIC
why don t we	Why Don't We	POP
wilbert harrison	Wilbert Harrison	ROCK,RNB
wild blue	Wild Blue	OTHER
wild cherry	Wild Cherry	RNB,ELECTRONIC
wild orchid	Wild Orchid	OTHER
wildweeds	The Wildweeds	OTHER
wilkinsons	The Wilkinsons	COUNTRY
will i am	will.i.am	POP,HIP_HOP
will smith	Will Smith	HIP_HOP
will to power	Will To Power	OTHER
will young	Will Young	POP,RNB
willa ford	Willa Ford	OTHER
william bell	William Bell	RNB
william devaughn	William DeVaughn	RNB
william michael morgan	William Michael Morgan	COUNTRY
william orbit	William Orbit	ELECTRONIC
williams brothers	The Williams Brothers	OTHER
willie henderson	Willie Henderson	OTHER
willie henderson and the soul explosions	Willie Henderson And The Soul Explosions	OTHER
willie hutch	Willie Hutch	RNB
